Event, nTightEle, nTightMu, hasOS, nJets, nBJets, hasZCand
43253621,0.0,0.0,0.0,0.0,0.0,1.0
43253717,0.0,0.0,0.0,1.0,-1.0,1.0
43253831,0.0,0.0,0.0,0.0,0.0,1.0
43253876,0.0,0.0,0.0,0.0,0.0,1.0
43253899,0.0,0.0,0.0,0.0,0.0,1.0
43253896,0.0,0.0,0.0,1.0,0.0,0.0
43253934,0.0,0.0,0.0,0.0,0.0,1.0
43253941,0.0,0.0,0.0,1.0,-1.0,1.0
43254067,0.0,0.0,0.0,0.0,0.0,1.0
43254072,0.0,0.0,0.0,1.0,-1.0,1.0
43254097,0.0,0.0,0.0,2.0,-2.0,1.0
43254178,0.0,0.0,0.0,0.0,0.0,1.0
43254207,0.0,0.0,0.0,0.0,0.0,1.0
43254211,0.0,0.0,0.0,0.0,0.0,1.0
43254277,0.0,0.0,0.0,1.0,-1.0,1.0
43254242,0.0,0.0,0.0,1.0,0.0,0.0
43254266,0.0,0.0,0.0,0.0,0.0,1.0
43254321,0.0,0.0,0.0,1.0,-1.0,1.0
43254329,0.0,0.0,0.0,1.0,-1.0,1.0
43254378,0.0,0.0,0.0,0.0,0.0,1.0
43254508,0.0,0.0,0.0,0.0,0.0,1.0
43254512,0.0,0.0,0.0,0.0,0.0,1.0
43254531,0.0,0.0,0.0,3.0,-2.0,0.0
43254545,0.0,0.0,0.0,1.0,-1.0,1.0
43254654,0.0,0.0,0.0,1.0,-1.0,1.0
43254705,0.0,0.0,0.0,0.0,0.0,1.0
43254708,0.0,0.0,0.0,1.0,-1.0,1.0
43254729,0.0,0.0,0.0,0.0,0.0,1.0
43254906,0.0,0.0,0.0,0.0,0.0,1.0
43254973,0.0,0.0,0.0,0.0,0.0,1.0
43254962,0.0,0.0,0.0,0.0,0.0,1.0
43255001,0.0,0.0,0.0,1.0,-1.0,1.0
43255066,0.0,0.0,0.0,0.0,0.0,1.0
43255108,0.0,0.0,0.0,0.0,0.0,1.0
43255211,0.0,0.0,0.0,0.0,0.0,1.0
43255219,0.0,0.0,0.0,1.0,-1.0,1.0
43255228,0.0,0.0,0.0,1.0,-1.0,1.0
43255263,0.0,0.0,0.0,2.0,-2.0,1.0
43255338,0.0,0.0,0.0,0.0,0.0,1.0
43255343,0.0,0.0,0.0,0.0,0.0,1.0
43255383,0.0,0.0,0.0,0.0,0.0,1.0
43255447,0.0,0.0,0.0,3.0,-3.0,1.0
43255587,0.0,0.0,0.0,0.0,0.0,1.0
43255623,0.0,0.0,0.0,0.0,0.0,1.0
43255603,0.0,0.0,0.0,0.0,0.0,1.0
43255669,0.0,0.0,0.0,1.0,-1.0,1.0
43255679,0.0,0.0,0.0,0.0,0.0,1.0
43255664,0.0,0.0,0.0,0.0,0.0,1.0
43255660,0.0,0.0,0.0,0.0,0.0,1.0
43255683,0.0,0.0,0.0,0.0,0.0,1.0
43255686,0.0,0.0,0.0,0.0,0.0,1.0
43255727,0.0,0.0,0.0,1.0,0.0,0.0
43255719,0.0,0.0,0.0,0.0,0.0,1.0
43255733,0.0,0.0,0.0,0.0,0.0,1.0
43255758,0.0,0.0,0.0,0.0,0.0,1.0
43255779,0.0,0.0,0.0,0.0,0.0,1.0
43255764,0.0,0.0,0.0,1.0,-1.0,1.0
43255773,0.0,0.0,0.0,0.0,0.0,1.0
43255814,0.0,0.0,0.0,1.0,-1.0,1.0
43255816,0.0,0.0,0.0,0.0,0.0,1.0
43255851,0.0,0.0,0.0,0.0,0.0,1.0
43255873,0.0,0.0,0.0,0.0,0.0,1.0
43255993,0.0,0.0,0.0,0.0,0.0,1.0
43255980,0.0,0.0,0.0,1.0,-1.0,1.0
43256022,0.0,0.0,0.0,0.0,0.0,1.0
43256043,0.0,0.0,0.0,0.0,0.0,1.0
43256084,0.0,0.0,0.0,0.0,0.0,1.0
43256106,0.0,0.0,0.0,0.0,0.0,1.0
43256193,0.0,0.0,0.0,0.0,0.0,1.0
43256244,0.0,0.0,0.0,0.0,0.0,1.0
43256272,0.0,0.0,0.0,2.0,-2.0,1.0
