Event, nTightEle, nTightMu, hasOS, hasOS_ZCand, hasSS_ZCand, nGenMatchedLeptons, nFlips, nJets, nBJets
324337314,2,0,1,1,0,2,0,0,0
324337373,2,0,1,1,0,2,0,0,0
324337426,2,0,1,1,0,2,0,1,0
324337424,2,0,1,1,0,2,0,0,0
324337450,2,0,1,1,0,2,0,0,0
324337441,2,0,1,1,0,2,0,3,0
324337499,2,0,1,1,0,2,0,2,0
324337534,2,0,1,1,0,2,0,1,0
324337606,2,0,1,1,0,2,0,0,0
324337642,2,0,1,1,0,2,0,1,0
324337630,2,0,1,1,0,2,0,0,0
324337659,2,0,1,1,0,2,0,1,0
324337695,2,0,1,1,0,2,0,2,0
324337752,2,0,1,1,0,2,0,0,0
324337733,2,0,1,1,0,2,0,2,0
324337831,2,0,1,1,0,2,0,3,0
324337878,2,0,1,1,0,2,0,0,0
324337919,2,0,1,1,0,2,0,0,0
324337937,2,0,1,1,0,2,0,2,0
324337951,2,0,1,1,0,2,0,2,1
324338030,2,0,1,1,0,2,0,1,0
324338049,2,0,1,1,0,2,0,0,0
324338069,2,0,1,1,0,2,0,1,0
324338156,2,0,1,1,0,2,0,3,2
324338236,2,0,1,1,0,2,0,0,0
324338282,2,0,1,1,0,2,0,1,0
324338313,2,0,1,1,0,2,0,1,0
324338362,2,0,1,1,0,2,0,0,0
324338375,2,0,1,1,0,2,0,0,0
324338425,2,0,1,1,0,2,0,1,0
324338544,2,0,1,1,0,2,0,0,0
324338554,2,0,1,1,0,2,0,1,1
324338590,2,0,1,1,0,2,0,0,0
324338576,2,0,1,1,0,2,0,1,0
324338605,2,0,1,1,0,2,0,0,0
324338621,2,0,1,1,0,2,0,1,1
324338662,2,0,1,1,0,2,0,1,0
324338699,2,0,1,1,0,2,0,0,0
324338708,2,0,1,1,0,2,0,1,0
324338772,2,0,1,1,0,2,0,2,0
324338799,2,0,1,1,0,2,0,3,0
324338846,2,0,1,1,0,2,0,0,0
324338884,2,0,1,1,0,2,0,2,0
324338920,2,0,1,1,0,2,0,1,1
324338955,2,0,1,1,0,2,0,0,0
324338984,2,0,1,1,0,2,0,0,0
324339006,2,0,1,1,0,2,0,0,0
324339082,2,0,1,1,0,2,0,0,0
324339138,2,0,1,1,0,2,0,0,0
324339168,2,0,1,1,0,2,0,1,0
324339169,2,0,1,1,0,2,0,0,0
324339284,2,0,1,1,0,2,0,1,0
324339305,2,0,1,1,0,2,0,1,0
324339282,2,0,1,1,0,2,0,0,0
324339295,2,0,1,1,0,2,0,1,1
324339332,2,0,1,1,0,2,0,1,0
324339354,2,0,1,1,0,2,0,0,0
324339356,2,0,1,1,0,2,0,0,0
324339386,2,0,1,1,0,2,0,0,0
324339475,2,0,1,1,0,2,0,0,0
324339597,2,0,1,1,0,2,0,0,0
324339588,2,0,1,1,0,2,0,1,1
324339631,2,0,1,1,0,2,0,0,0
324339630,2,0,1,1,0,2,0,1,0
324339768,2,0,1,1,0,2,0,1,0
324339885,2,0,1,1,0,2,0,1,1
324339893,2,0,1,1,0,2,0,1,0
324339909,2,0,1,1,0,2,0,1,0
324339920,2,0,1,1,0,2,0,0,0
324339956,2,0,1,1,0,2,0,0,0
324339994,2,0,1,1,0,2,0,0,0
324340041,2,0,1,1,0,2,0,0,0
324340027,2,0,1,1,0,2,0,0,0
324340054,2,0,1,1,0,2,0,1,0
324340073,2,0,1,1,0,2,0,3,1
324340157,2,0,1,1,0,2,0,1,0
324340315,2,0,1,1,0,2,0,0,0
324340363,2,0,1,1,0,2,0,0,0
324340362,2,0,1,1,0,2,0,0,0
324340397,2,0,1,1,0,2,0,0,0
324340498,2,0,1,1,0,2,0,0,0
324340531,2,0,1,1,0,2,0,0,0
324340539,2,0,1,1,0,2,0,3,0
324340582,2,0,1,1,0,2,0,0,0
324340600,2,0,1,1,0,2,0,0,0
324340683,2,0,1,1,0,2,0,0,0
324340771,2,0,1,1,0,2,0,2,0
324340784,2,0,1,1,0,2,0,1,1
324340789,2,0,1,1,0,2,0,0,0
324340839,2,0,1,1,0,2,0,0,0
324340845,2,0,1,1,0,2,0,0,0
324340843,2,0,1,1,0,2,0,0,0
324340863,2,0,1,1,0,2,0,0,0
324340857,2,0,1,1,0,1,0,0,0
324340933,2,0,1,1,0,2,0,1,0
324340959,2,0,1,1,0,2,0,2,0
324340976,2,0,1,1,0,2,0,2,1
324340997,2,0,1,1,0,2,0,0,0
324341026,2,0,1,1,0,2,0,0,0
324341041,2,0,1,1,0,2,0,0,0
324341056,2,0,1,1,0,2,0,1,0
324341055,2,0,1,1,0,2,0,3,1
324341113,2,0,1,1,0,2,0,2,0
324341201,2,0,1,1,0,2,0,0,0
324341197,2,0,1,1,0,2,0,2,0
324341260,2,0,1,1,0,2,0,0,0
324341251,2,0,1,1,0,2,0,1,0
324341288,2,0,1,1,0,2,0,0,0
324341334,2,0,1,1,0,2,0,0,0
324341344,2,0,1,1,0,2,0,1,0
324341365,2,0,1,1,0,2,0,1,0
324341396,2,0,1,1,0,2,0,0,0
324341410,2,0,1,1,0,2,0,0,0
324341447,2,0,1,1,0,2,0,0,0
324341457,2,0,1,1,0,2,0,2,0
324341488,2,0,1,1,0,2,0,0,0
324341519,2,0,1,1,0,2,0,1,1
324341558,2,0,1,1,0,2,0,1,0
324341666,2,0,1,1,0,2,0,2,0
324341714,2,0,1,1,0,2,0,0,0
324341744,2,0,1,1,0,2,0,0,0
324341773,2,0,1,1,0,2,0,0,0
324341914,2,0,1,1,0,2,0,0,0
324341915,2,0,1,1,0,2,0,0,0
324341931,2,0,1,1,0,2,0,1,0
324341946,2,0,1,1,0,2,0,0,0
324341981,2,0,1,1,0,2,0,1,0
324342003,2,0,1,1,0,2,0,2,0
324342038,2,0,1,1,0,2,0,0,0
324342043,2,0,1,1,0,2,0,1,0
324342033,2,0,1,1,0,2,0,2,2
324342089,2,0,1,1,0,2,0,0,0
324342127,2,0,1,1,0,2,0,0,0
324342219,2,0,1,1,0,2,0,1,0
324342222,2,0,1,1,0,2,0,0,0
324342240,2,0,1,1,0,2,0,1,1
324342331,2,0,1,1,0,2,0,0,0
324342364,2,0,1,1,0,2,0,0,0
324342429,2,0,1,1,0,2,0,2,2
324342529,2,0,1,1,0,1,0,0,0
324342599,2,0,1,1,0,2,0,0,0
324342609,2,0,1,1,0,2,0,3,1
324342650,2,0,1,1,0,2,0,0,0
324342670,2,0,1,1,0,2,0,0,0
324342662,2,0,1,1,0,2,0,0,0
324342673,2,0,1,1,0,2,0,0,0
324342677,2,0,1,1,0,2,0,1,1
324342740,2,0,1,1,0,2,0,0,0
324342737,2,0,1,1,0,2,0,0,0
324342852,2,0,1,1,0,2,0,0,0
324342888,2,0,1,1,0,2,0,0,0
324342876,2,0,1,1,0,2,0,3,0
324342917,2,0,1,1,0,2,0,2,0
324342945,2,0,1,1,0,2,0,0,0
324342953,2,0,1,1,0,2,0,0,0
324342981,2,0,1,1,0,2,0,0,0
324343099,2,0,1,1,0,2,0,0,0
324343159,2,0,1,1,0,2,0,0,0
324343132,2,0,1,1,0,2,0,1,1
324343169,2,0,1,1,0,2,0,0,0
324343190,2,0,1,1,0,2,0,0,0
324343198,2,0,1,1,0,2,0,1,0
324343277,2,0,1,1,0,2,0,0,0
324343328,2,0,1,1,0,2,0,1,0
324343344,2,0,1,1,0,2,0,0,0
324343409,2,0,1,1,0,2,0,1,0
324343411,2,0,1,1,0,2,0,0,0
324343439,2,0,1,1,0,2,0,1,0
324343466,2,0,1,1,0,2,0,0,0
324343474,2,0,1,1,0,2,0,0,0
324343491,2,0,1,1,0,2,0,0,0
324343526,2,0,1,1,0,2,0,1,0
324343589,2,0,1,1,0,2,0,0,0
324343651,2,0,1,1,0,2,0,1,0
324343679,2,0,1,1,0,2,0,1,1
324343728,2,0,1,1,0,2,0,0,0
324343748,2,0,1,1,0,2,0,1,0
324343747,2,0,1,1,0,2,0,2,1
324343831,2,0,1,1,0,2,0,0,0
324343822,2,0,1,1,0,2,0,1,0
324343945,2,0,1,1,0,2,0,0,0
324343960,2,0,1,1,0,2,0,0,0
324344028,2,0,1,1,0,2,0,1,1
324344039,2,0,1,1,0,2,0,2,0
324344117,2,0,1,1,0,2,0,0,0
