Event, nTightEle, nTightMu, hasOS, nJets, nBJets, hasZCand, nGenMatchedLeptons
43253621,2,0,1,0,0,1,2
43253695,2,0,1,2,0,1,2
43253717,2,0,1,1,0,1,2
43253831,2,0,1,0,0,1,2
43253876,2,0,1,0,0,1,2
43253899,2,0,1,0,0,1,2
43253896,2,0,1,1,1,1,2
43253933,2,0,1,0,0,1,2
43253934,2,0,1,0,0,1,2
43253941,2,0,1,1,0,1,2
43254067,2,0,1,0,0,1,2
43254072,2,0,1,1,0,1,2
43254097,2,0,1,2,0,1,2
43254178,2,0,1,0,0,1,2
43254207,2,0,1,0,0,1,2
43254232,2,0,1,0,0,1,2
43254211,2,0,1,0,0,1,2
43254277,2,0,1,1,0,1,2
43254242,2,0,1,1,1,1,2
43254266,2,0,1,0,0,1,2
43254321,2,0,1,1,0,1,2
43254329,2,0,1,1,0,1,2
43254378,2,0,1,0,0,1,2
43254379,2,0,1,0,0,1,2
43254508,2,0,1,0,0,1,2
43254512,2,0,1,0,0,1,2
43254531,2,0,1,3,1,1,2
43254545,2,0,1,1,0,1,2
43254654,2,0,1,1,0,1,2
43254705,2,0,1,0,0,1,2
43254708,2,0,1,1,0,1,2
43254729,2,0,1,0,0,1,2
43254906,2,0,1,0,0,1,2
43254973,2,0,1,0,0,1,2
43254962,2,0,1,0,0,1,2
43255001,2,0,1,1,0,1,2
43255066,2,0,1,0,0,1,2
43255108,2,0,1,0,0,1,2
43255211,2,0,1,0,0,1,2
43255219,2,0,1,1,0,1,2
43255228,2,0,1,1,0,1,2
43255263,2,0,1,2,0,1,2
43255338,2,0,1,0,0,1,2
43255343,2,0,1,0,0,1,2
43255383,2,0,1,0,0,1,2
43255398,2,0,1,1,0,1,2
43255447,2,0,1,3,0,1,2
43255587,2,0,1,0,0,1,2
43255623,2,0,1,0,0,1,2
43255603,2,0,1,0,0,1,2
43255669,2,0,1,1,0,1,2
43255679,2,0,1,0,0,1,2
43255664,2,0,1,0,0,1,2
43255660,2,0,1,0,0,1,2
43255683,2,0,1,0,0,1,2
43255686,2,0,1,0,0,1,2
43255682,2,0,1,3,3,1,2
43255727,2,0,1,1,1,1,2
43255719,2,0,1,0,0,1,2
43255733,2,0,1,0,0,1,2
43255758,2,0,1,0,0,1,2
43255779,2,0,1,0,0,1,2
43255764,2,0,1,1,0,1,2
43255773,2,0,1,0,0,1,2
43255814,2,0,1,1,0,1,2
43255816,2,0,1,0,0,1,2
43255851,2,0,1,0,0,1,2
43255873,2,0,1,0,0,1,2
43255993,2,0,1,0,0,1,2
43255980,2,0,1,1,0,1,2
43256022,2,0,1,0,0,1,2
43256043,2,0,1,0,0,1,2
43256063,2,0,1,0,0,1,2
43256084,2,0,1,0,0,1,2
43256106,2,0,1,0,0,1,2
43256193,2,0,1,0,0,1,2
43256244,2,0,1,0,0,1,2
43256272,2,0,1,2,0,1,2
43256283,2,0,1,0,0,1,2
43256281,2,0,1,1,0,1,2
43256296,2,0,1,0,0,1,2
43256327,2,0,1,0,0,1,2
43256385,2,0,1,0,0,1,2
43256405,2,0,1,0,0,1,2
43256475,2,0,1,0,0,1,2
43256517,2,0,1,0,0,1,2
43256536,2,0,1,1,0,1,0
43256559,2,0,1,0,0,1,2
43256550,2,0,1,1,0,1,2
43256655,2,0,1,0,0,1,2
43256670,2,0,1,0,0,1,2
43256687,2,0,1,1,0,1,2
43256707,2,0,1,1,1,1,2
43256720,2,0,1,0,0,1,2
43256775,2,0,1,1,0,1,2
43256807,2,0,1,0,0,1,2
43256837,2,0,1,0,0,1,2
43256889,2,0,1,0,0,1,2
43256891,2,0,1,1,0,1,2
43256919,2,0,1,0,0,1,2
43256932,2,0,1,0,0,1,2
43256938,2,0,1,1,0,1,2
43256948,2,0,1,0,0,1,2
43256963,2,0,1,1,0,1,2
43257001,2,0,1,0,0,1,2
43257022,2,0,1,0,0,1,2
43257054,2,0,1,2,1,1,2
43257105,2,0,1,1,0,1,2
43257141,2,0,1,0,0,1,2
43257175,2,0,1,2,0,1,2
43257215,2,0,1,0,0,1,2
43257229,2,0,1,0,0,1,2
43257254,2,0,1,3,0,1,2
43257264,2,0,1,0,0,1,2
43257350,2,0,1,0,0,1,2
43257343,2,0,0,1,0,1,0
43257386,2,0,1,0,0,1,2
43257414,2,0,1,0,0,1,2
43257475,2,0,1,0,0,1,2
43257459,2,0,1,0,0,1,2
43257501,2,0,1,0,0,1,2
43257533,2,0,1,1,0,1,2
43257552,2,0,1,2,1,1,2
43257621,2,0,1,0,0,1,2
43257659,2,0,1,1,0,1,2
43257689,2,0,1,0,0,1,2
43257761,2,0,1,0,0,1,2
43257768,2,0,1,0,0,1,2
43257780,2,0,1,0,0,1,2
43257804,2,0,1,0,0,1,2
43257820,2,0,1,0,0,1,2
43257824,2,0,1,0,0,1,2
43257848,2,0,1,1,1,1,2
43257886,2,0,1,0,0,1,2
43257877,2,0,1,1,0,1,2
43257900,2,0,1,1,0,1,2
43257926,2,0,1,0,0,1,2
43257915,2,0,1,0,0,1,2
43257956,2,0,1,2,1,1,2
43257968,2,0,1,1,0,1,2
43258025,2,0,1,0,0,1,2
43258049,2,0,1,0,0,1,2
43258060,2,0,1,0,0,1,2
43258159,2,0,1,2,0,1,2
43258155,2,0,1,3,1,1,2
43258233,2,0,1,3,0,1,2
43258275,2,0,1,0,0,1,2
43258312,2,0,1,0,0,1,2
43258444,2,0,1,2,0,1,2
43258456,2,0,1,0,0,1,2
43258557,2,0,1,2,0,1,2
43258554,2,0,1,0,0,1,2
43258563,2,0,1,0,0,1,2
43258636,2,0,1,0,0,1,2
43258662,2,0,1,0,0,1,2
43258646,2,0,1,0,0,1,2
